"time","Tout"
"2020-05-03 21:20:00",9.199999993
"2020-05-03 21:25:00",9.100000013
"2020-05-03 21:30:00",9.1
"2020-05-03 21:35:00",9.000000003
"2020-05-03 21:40:00",9.000000003
"2020-05-03 21:45:00",9.1
"2020-05-03 21:50:00",9.1
"2020-05-03 21:55:00",9.1
"2020-05-03 22:00:00",9.2
"2020-05-03 22:05:00",9.1
"2020-05-03 22:10:00",9.1
"2020-05-03 22:15:00",9.199999993
"2020-05-03 22:20:00",9.2
"2020-05-03 22:25:00",9.3
"2020-05-03 22:30:00",9.29999999
"2020-05-03 22:35:00",9.20000001
"2020-05-03 22:40:00",9.399999993
"2020-05-03 22:45:00",9.2
"2020-05-03 22:50:00",9.4
"2020-05-03 22:55:00",9.4
"2020-05-03 23:00:00",9.4
"2020-05-03 23:05:00",9.4
"2020-05-03 23:10:00",9.5
"2020-05-03 23:15:00",9.50000003
"2020-05-03 23:20:00",9.79999997
"2020-05-03 23:25:00",9.8
"2020-05-03 23:30:00",9.8
"2020-05-03 23:35:00",9.600000013
"2020-05-03 23:40:00",9.799999973
"2020-05-03 23:45:00",10.19999997
"2020-05-03 23:50:00",10.00000001
"2020-05-03 23:55:00",10.19999999
"2020-05-04 00:00:00",10.00000001
"2020-05-04 00:05:00",10.09999999
"2020-05-04 00:10:00",10.39999999
"2020-05-04 00:15:00",10.3
"2020-05-04 00:20:00",10.59999999
"2020-05-04 00:25:00",10.50000001
"2020-05-04 00:30:00",10.59999999
"2020-05-04 00:35:00",10.99999999
"2020-05-04 00:40:00",10.8
"2020-05-04 00:45:00",10.80000001
"2020-05-04 00:50:00",10.89999999
"2020-05-04 00:55:00",11.19999999
"2020-05-04 01:00:00",11.2
"2020-05-04 01:05:00",11.3
"2020-05-04 01:10:00",11.3
"2020-05-04 01:15:00",11.3
"2020-05-04 01:20:00",11.49999999
"2020-05-04 01:25:00",11.8
"2020-05-04 01:30:00",11.79999998
"2020-05-04 01:35:00",11.60000002
"2020-05-04 01:40:00",11.99999999
"2020-05-04 01:45:00",11.9
"2020-05-04 01:50:00",11.79999999
"2020-05-04 01:55:00",11.70000001
"2020-05-04 02:00:00",11.89999999
"2020-05-04 02:05:00",11.8
"2020-05-04 02:10:00",11.70000003
"2020-05-04 02:15:00",12.59999997
"2020-05-04 02:20:00",12.30000003
"2020-05-04 02:25:00",12.69999999
"2020-05-04 02:30:00",13
"2020-05-04 02:35:00",12.80000003
"2020-05-04 02:40:00",13.19999995
"2020-05-04 02:45:00",12.80000003
"2020-05-04 02:50:00",13.29999998
"2020-05-04 02:55:00",13.10000001
"2020-05-04 03:00:00",13.49999997
"2020-05-04 03:05:00",13.20000003
"2020-05-04 03:10:00",13.39999999
"2020-05-04 03:15:00",13.3
"2020-05-04 03:20:00",13.69999997
"2020-05-04 03:25:00",13.20000007
"2020-05-04 03:30:00",13.59999997
"2020-05-04 03:35:00",13.5
"2020-05-04 03:40:00",13.80000001
"2020-05-04 03:45:00",14.10000002
"2020-05-04 03:50:00",14.29999998
"2020-05-04 03:55:00",13.60000002
"2020-05-04 04:00:00",13.3
"2020-05-04 04:05:00",14.19999993
"2020-05-04 04:10:00",13.20000013
"2020-05-04 04:15:00",14.19999993
"2020-05-04 04:20:00",13.60000002
"2020-05-04 04:25:00",13.60000001
"2020-05-04 04:30:00",13.90000004
"2020-05-04 04:35:00",14.29999996
"2020-05-04 04:40:00",14.3
"2020-05-04 04:45:00",13.8
"2020-05-04 04:50:00",13.30000005
"2020-05-04 04:55:00",13.99999991
"2020-05-04 05:00:00",13.90000001
"2020-05-04 05:05:00",14.29999999
"2020-05-04 05:10:00",13.70000001
"2020-05-04 05:15:00",13.90000006
"2020-05-04 05:20:00",14.49999994
"2020-05-04 05:25:00",14.00000002
"2020-05-04 05:30:00",13.7
"2020-05-04 05:35:00",14.10000001
"2020-05-04 05:40:00",14.29999997
"2020-05-04 05:45:00",14.3
"2020-05-04 05:50:00",14.00000001
"2020-05-04 05:55:00",14.3
"2020-05-04 06:00:00",14.30000001
"2020-05-04 06:05:00",14.39999999
"2020-05-04 06:10:00",14.3
"2020-05-04 06:15:00",14.4
"2020-05-04 06:20:00",14.50000001
"2020-05-04 06:25:00",14.59999999
"2020-05-04 06:30:00",14.50000001
"2020-05-04 06:35:00",14.4
"2020-05-04 06:40:00",15.19999997
"2020-05-04 06:45:00",14.40000004
"2020-05-04 06:50:00",14.79999996
"2020-05-04 06:55:00",14.60000001
"2020-05-04 07:00:00",15.1
"2020-05-04 07:05:00",15.39999997
"2020-05-04 07:10:00",14.90000007
"2020-05-04 07:15:00",14.70000001
"2020-05-04 07:20:00",14.30000001
"2020-05-04 07:25:00",15.59999997
"2020-05-04 07:30:00",14.60000005
"2020-05-04 07:35:00",15.09999995
"2020-05-04 07:40:00",14.60000002
"2020-05-04 07:45:00",13.8
"2020-05-04 07:50:00",14.2
"2020-05-04 07:55:00",14.2
"2020-05-04 08:00:00",14.99999995
"2020-05-04 08:05:00",14.20000003
"2020-05-04 08:10:00",14.89999999
"2020-05-04 08:15:00",14.60000002
"2020-05-04 08:20:00",14.79999998
"2020-05-04 08:25:00",15.09999999
"2020-05-04 08:30:00",14.8
"2020-05-04 08:35:00",14.49999998
"2020-05-04 08:40:00",14.20000004
"2020-05-04 08:45:00",14.99999995
"2020-05-04 08:50:00",14.20000003
"2020-05-04 08:55:00",14.3
"2020-05-04 09:00:00",14.19999997
"2020-05-04 09:05:00",13.90000003
"2020-05-04 09:10:00",14.29999999
"2020-05-04 09:15:00",14.3
"2020-05-04 09:20:00",14.09999999
"2020-05-04 09:25:00",14.00000001
"2020-05-04 09:30:00",14.09999999
"2020-05-04 09:35:00",13.80000001
"2020-05-04 09:40:00",13.80000002
"2020-05-04 09:45:00",14.29999999
"2020-05-04 09:50:00",14.20000001
"2020-05-04 09:55:00",13.70000002
"2020-05-04 10:00:00",13.9
"2020-05-04 10:05:00",13.79999999
"2020-05-04 10:10:00",13.70000001
"2020-05-04 10:15:00",13.60000001
"2020-05-04 10:20:00",13.10000002
"2020-05-04 10:25:00",12.80000001
"2020-05-04 10:30:00",13.09999999
"2020-05-04 10:35:00",13.00000001
"2020-05-04 10:40:00",12.60000001
"2020-05-04 10:45:00",12.5
"2020-05-04 10:50:00",12.49999999
"2020-05-04 10:55:00",12.40000001
"2020-05-04 11:00:00",12.4
"2020-05-04 11:05:00",12.3
"2020-05-04 11:10:00",12.29999999
"2020-05-04 11:15:00",11.9
"2020-05-04 11:20:00",11.9
"2020-05-04 11:25:00",11.9
"2020-05-04 11:30:00",11.5
